Date,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
20000608,-0.00392,-0.001462,-999,0.005005,-0.016746,-0.015865,-0.004608,0,-999,0.006001,-0.007916,-0.009832
20000609,-0.002127,-0.001464,-999,-0.006474,-0.017032,0.003761,0.002315,0.011318,-999,0.012473,0.014894,-0.016355
20000612,-0.011725,0.005865,-999,0.022556,0.008663,0.001071,-0.017898,-0.001317,-999,-0.004285,-0.009434,-0.024941
20000613,0.018766,-0.028426,-999,0,-0.001227,0.004278,0.018225,0.011206,-999,0.021517,-0.013757,0.019488
20000614,0.001694,0.026257,-999,-0.001471,0.017199,-0.00213,-0.018476,0.013038,-999,-0.004213,0.017167,0.003584
20000615,0.002114,0,-999,-0.014237,-0.023551,0.009605,0.02,0.018662,-999,-0.005288,0.028481,-0.002381
20000616,-0.008195,0.004656,-999,0.016759,-0.046635,-0.017501,0.00346,-0.018553,-999,-0.011079,-0.011282,-0.011202
20000619,0.01279,-0.032164,-999,-0.008366,0.026042,-0.010243,0.031609,0.001935,-999,0.016251,0.006224,-0.001209
20000620,-0.003578,-0.018127,-999,-0.005459,-0.01269,-0.031046,0.002786,-0.017386,-999,-0.010661,-0.001546,-0.021792
20000621,-0.000634,-0.004615,-999,0.017964,-0.007712,0.003935,0.008889,0.019659,-999,0.003233,-0.004646,-0.006807
20000622,-0.015007,0,-999,-0.026471,-0.000648,-0.021837,-0.031938,-0.021851,-999,-0.006445,-0.002075,-0.004361
20000623,-0.008584,0.000773,-999,0.012588,-0.007129,0.010876,-0.020193,0.011827,-999,0.003243,-0.018711,0.006258
20000626,0.012879,-0.023166,-999,-0.007956,0.015666,0.023783,0.008999,0.012987,-999,-0.003233,-0.009534,0
20000627,-0.007373,0.040316,-999,-0.007018,0.00964,0.004425,-0.012083,0.015385,-999,-0.027027,-0.002139,0.028607
20000628,0.002799,-0.00228,-999,-0.008582,-0.007638,0.012665,0.008445,0,-999,0.008333,-0.004287,-0.003628
20000629,-0.009446,-0.018279,-999,0.002037,-0.000641,-0.017401,-0.018192,0.008838,-999,-0.015978,0.01507,-0.01699
20000630,0.007586,-0.024825,-999,-0.013211,-0.02439,0.00166,0.02,0.010638,-999,-0.023516,0.003181,0.011111
20000703,0.013766,0.027844,-999,0.006179,0.018421,0.01326,0.00692,0.001858,-999,0.029817,-0.002114,0.013431
20000705,-0.018035,0.004644,-999,-0.041453,0.010982,-0.008724,-0.032073,0.002472,-999,0.008909,0.006356,0.012048
20000706,0.007779,-0.026194,-999,0.010144,0.007668,-0.00275,0.015089,0.001233,-999,0.001104,-0.002105,0.007143
20000707,0.016081,-0.004747,-999,0.004757,0.017121,0.004964,0.016613,-0.006773,-999,0.010474,0.008439,0.048463
20000710,-0.001688,0.014308,-999,0.004734,0.002494,0.001098,-0.013761,0.009299,-999,0,-0.008368,0.014656
20000711,0.002114,0.053292,-999,0.035602,0.004975,0.019189,-0.005233,0.000614,-999,-0.009274,-0.011076,0.007222
20000712,0.006539,-0.005208,-999,-0.013145,0.014233,0.003765,0.0263,-0.020258,-999,0.004405,0.018667,0.002758
20000713,0.004401,0.017203,-999,-0.015369,-0.009762,0.008039,0.018793,-0.015038,-999,0.004386,0.003141,-0.018702
20000714,0.009806,-0.025735,-999,-0.001041,0.016636,0.010101,0.017887,-0.01145,-999,-0.013646,0.015658,0.012332
20000717,-0.001653,-0.015849,-999,-0.013021,-0.018788,0.005789,0.007688,0.005148,-999,-0.008301,-0.012333,-0.005537
20000718,-0.008175,-0.015337,-999,0.008971,0.001853,0.002616,-0.021253,0.00128,-999,-0.003906,-0.015609,0.002227
20000719,-0.007199,0.002336,-999,-0.002615,-0.003699,-0.008351,-0.015033,0.001279,-999,0.010084,0.006342,-0.012778
20000720,0.013031,-0.010101,-999,-0.009963,0.025371,0.012105,0.015828,-0.016603,-999,-0.016084,0.015756,-0.002814
20000721,-0.019502,0.00471,-999,-0.019068,-0.000604,-0.00156,-0.021703,0.002597,-999,0.010147,-0.024819,-0.002257
20000724,-0.005713,0.001563,-999,-0.010259,0.003623,-0.007292,-0.02446,0.020725,-999,-0.003348,-0.009544,-0.015837
20000725,0.003192,-0.01248,-999,-0.009274,0.001805,0.002099,0.01691,-0.017766,-999,0.008399,0.000535,0.002299
20000726,-0.009758,-0.006319,-999,0.00826,-0.004805,-0.012565,-0.013188,0.000646,-999,-0.009439,-0.008026,-0.00344
20000727,-0.003428,0.011129,-999,0.034407,0.004225,-0.006893,-0.028762,0.007101,-999,-0.003924,0.006472,0.008055
20000728,-0.022571,-0.007862,-999,-0.007392,-0.022837,-0.033636,-0.037392,0.008333,-999,-0.00619,-0.010718,-0.030822
20000731,0.005718,0.004754,-999,-0.006383,0.022755,0.01547,0.023617,-0.010807,-999,0.002831,0.009751,-0.020024
20000801,0.006779,0.000789,-999,0.018737,0.001203,0.007617,-0.017001,0.033419,-999,0.022021,0.008584,0.014423
20000802,0.004996,0.006304,-999,0.018917,-0.001201,-0.00432,-0.001853,-0.000622,-999,0.016575,0.004255,0
20000803,0.006916,0.010963,-999,-0.013925,0.026458,0.001627,0.019183,0,-999,0.00163,0.005297,-0.004739
20000804,0.005366,-0.009295,-999,0.004184,0.036321,0.012453,0,-0.001867,-999,-0.005426,0.020548,-0.004167
20000807,0.011956,0.019547,-999,0.013021,0.005088,0.029412,0.020036,-0.012469,-999,0.01964,-0.007744,0.026898
20000808,0.003797,0.02454,-999,0.002057,0,0.008831,0.002381,0.004419,-999,-0.026217,0.003122,0.029686
20000809,-0.008407,0.000749,-999,0.017958,-0.006749,0.008754,0.001781,-0.040855,-999,-0.015934,-0.009336,-0.017524
20000810,-0.004875,-0.014959,-999,0.009073,-0.005096,-0.002552,-0.021932,0.017693,-999,0,0.002094,-0.028769
20000811,0.004153,0.020501,-999,-0.000999,0.014798,0.011259,0.006061,0.007083,-999,0.011167,0.00627,0.014218
20000814,0.013257,0,-999,0.014,0.0129,0.010121,0.020482,0.003197,-999,0.006074,0.011423,0.01285
20000815,-0.000837,0.005952,-999,-0.003945,-0.018272,-0.012525,0.002361,-0.001912,-999,0.006586,-0.005133,-0.028835
20000816,-0.003562,0,-999,0.013861,-0.011844,-0.004566,-0.000883,0.010217,-999,-0.014177,-0.014448,-0.019596
20000817,0.010513,0.002219,-999,0.023438,0.013128,0.005097,0.018273,-0.005689,-999,-0.013274,0.009424,0.000606
20000818,-0.003329,-0.017712,-999,-0.01145,-0.011268,-0.003043,0.001447,-0.012079,-999,0.005605,0,0.013317
20000821,0.005846,-0.005259,-999,0.003861,0.011966,0.014242,0.004624,0.010296,-999,0.006689,0.003112,-0.023895
20000822,-0.00166,-0.009819,-999,-0.002885,0.010698,-0.002006,0.002014,-0.003822,-999,-0.012182,-0.01241,0.019584
20000823,0.003534,-0.004577,-999,0.026037,-0.012813,-0.005025,0.008039,0.006394,-999,0.007848,0.001047,-0.006002
20000824,0.003108,0.001533,-999,-0.021617,-0.001693,0.010606,0.009399,-0.006353,-999,-0.002225,-0.002615,0
20000825,-0.000413,-0.005356,-999,0.002882,-0.013567,0.004498,-0.00395,0.003836,-999,-0.001115,0.01678,0.009058
20000828,0.003409,-0.001538,-999,0.003831,0.018911,0.013433,0.007932,-0.003185,-999,0.017857,-0.009799,-0.016158
20000829,0.000206,-0.013867,-999,0.000954,-0.010124,-0.006382,0.001686,-0.015335,-999,-0.008772,0.004688,-0.004258
20000830,-0.009573,0.002344,-999,-0.00858,0.009091,-0.009387,-0.004489,-0.004543,-999,0.009956,0.006739,-0.011607
20000831,0.013303,0.010912,-999,-0.003846,0.025901,0.007481,0.019448,0.001956,-999,0.007667,-0.006179,-0.014215
20000901,0.000205,-0.010023,-999,0.010135,-0.016465,0.008911,-0.000829,-0.005856,-999,0.011957,-0.001036,0.020063
20000905,-0.007178,0.020249,-999,0,0.012277,0,-0.021583,-0.003272,-999,0.003759,-0.01971,0.010449
20000906,-0.009915,0.016794,-999,0.021978,0.007718,0.004907,-0.027149,-0.012475,-999,0.012306,-0.004233,0.014599
20000907,0.007094,-0.048048,-999,-0.004675,-0.008206,-0.005859,0.018314,0.009309,-999,0,-0.00797,-0.008393
20000908,-0.006837,-0.01735,-999,-0.011743,0.022614,-0.011788,-0.032829,-0.000659,-999,0.031712,0.000536,0.018742
20000911,-0.00146,-0.006421,-999,0.031844,0.019957,-0.00497,-0.024793,0.004614,-999,0.023053,0.003747,0.018398
20000912,-0.00752,-0.006462,-999,-0.001382,-0.001586,-0.002997,-0.014528,0.007874,-999,-0.002504,-0.000533,0
20000913,0.002842,-0.004878,-999,-0.016605,-0.006356,0.003006,0.009828,0,-999,-0.007028,0.010672,0
20000914,-0.002833,-0.017974,-999,-0.002814,-0.003198,-0.000999,0.00365,-0.010417,-999,-0.013145,-0.01056,-0.005828
20000915,-0.013469,-0.015782,-999,0.025941,-0.016776,-0.025268,-0.015455,-0.001463,-999,0.009268,-0.004269,-0.008657
20000918,-0.00984,-0.003401,-999,0.001842,-0.033279,-0.011317,-0.022468,0.001323,-999,-0.006141,-0.001608,-0.020154
20000919,0.009073,-0.027304,-999,-0.026654,0.021445,-0.011446,0.039043,0.001321,-999,-0.016478,-0.006441,-0.016939
20000920,-0.007386,-0.012281,-999,-0.01983,-0.014365,0.005263,-0.001515,-0.007916,-999,-0.017801,-0.019449,-0.019692
20000921,0.002049,-0.003552,-999,-0.007707,-0.011211,0.003141,-0.014871,0.026596,-999,0.007463,0.009366,0.037037
20000922,0.000646,-0.001783,-999,-0.006311,0.019274,-0.007307,-0.028959,0.033679,-999,0.025397,-0.008734,-0.006659
20000925,-0.007744,-0.002679,-999,-0.015144,0.016129,0.029443,-0.020939,-0.008772,-999,0.007224,0.014868,-0.015235
20000926,-0.01214,-0.009848,-999,0.02381,-0.006568,0.001021,-0.021063,-0.00885,-999,0.014344,0,-0.022277
20000927,0.005267,-0.004521,-999,0.018895,0.000551,-0.008163,-0.006289,0.000638,-999,-0.00404,-0.01682,0.009494
20000928,0.020738,0.029973,-999,-0.003804,0.02533,0.013374,0.033311,0.015296,-999,0.032454,0.029249,0.015674
20000929,-0.017109,0.024691,-999,0.000955,-0.003222,-0.007107,-0.043198,0.003766,-999,0.014735,-0.002681,-0.016667
20001002,0.001523,-0.022375,-999,0.020505,0.014009,-0.010225,-0.007412,-0.001876,-999,0.005808,0.012903,-0.015694
20001003,-0.009342,0.055458,-999,-0.000467,-0.001063,0.019628,-0.026477,0,-999,-0.012512,0.003715,0.007653
20001004,0.008333,0.009174,-999,-0.029453,-0.012766,0.007092,0.026848,-0.008145,-999,0,0.007932,0.017722
20001005,0.00348,-0.009917,-999,-0.001445,0.009698,0.001006,-0.014261,0.023373,-999,0.008772,0.008919,-0.01306
20001006,-0.021673,-0.008347,-999,-0.004342,-0.041622,-0.027136,-0.020668,-0.005556,-999,-0.004831,-0.023401,-0.031506
20001009,-0.007532,0.002525,-999,0.015504,-0.01559,0.006198,-0.005628,-0.004345,-999,0,-0.00639,0.006506
20001010,-0.016518,0.005038,-999,0.022424,-0.028846,-0.013347,-0.02936,0.014339,-999,-0.001942,0.001072,0.000646
20001011,-0.008398,-0.026734,-999,0.009333,0.001747,-0.01769,-0.03207,-0.001229,-999,-0.015564,-0.025161,-0.028424
20001012,-0.024949,-0.018026,-999,0.015257,-0.05814,-0.022775,-0.034639,0.006154,-999,-0.013834,-0.033498,-0.069814
20001013,0.033333,-0.022727,-999,-0.038251,0.051852,0.030894,0.084243,-0.012232,-999,0.01503,0.01875,0.020729
20001016,0.004543,-0.000894,-999,-0.00947,0.008803,0.01367,-0.015827,0.014241,-999,0.005923,-0.009481,0.017507
20001017,-0.024876,-0.008953,-999,0.000478,-0.027341,-0.026971,-0.026316,0.008547,-999,0.013248,-0.04955,-0.027529
20001018,-0.003711,0.011743,-999,-0.013378,-0.011364,-0.018124,-0.015766,-0.000605,-999,-0.008232,0.016588,0.019108
20001019,0.037477,-0.001786,-999,0.004843,0.047187,0.017372,0.088863,-0.018171,-999,-0.004883,0.011655,0.040972
20001020,0.004487,-0.013417,-999,0.019759,0.004044,0.005336,0.015061,0.006786,-999,-0.005397,0.020737,-0.018012
20001023,0.004467,0.007253,-999,-0.016068,-0.016686,0.011677,-0.006211,0.010417,-999,0.021214,0.014673,0.006114
20001024,-0.006671,0.040504,-999,-0.016811,0.025161,0.01574,-0.019444,0.003032,-999,-0.004348,0.002225,0.000675
